participant,Age
3,5.6
4,5.9
5,5.9
6,6.7
7,6.5
8,6.1
9,6.3
10,5.6
11,6.3
12,6
13,6.7
14,6.9
15,5.7
16,5.8
17,6
18,6.1
20,6.1
21,5.5
22,5.7
23,5.8
24,5.6
25,5.7
26,5.9
27,6.2
28,6.1
29,6.8
31,6.5
32,6.7
33,5.8
34,5.6
35,5.8
36,5.9
37,5.8
38,5.9
39,5.8
40,6.6
41,6.8
42,5.9
43,5.9
44,6.8
46,6.2
47,5.6
48,5.8
49,6.8
50,5.5
51,6.5
52,5.8
53,6.3
54,6.7
55,6.4
56,6.1
57,5.5
58,6.7
60,6
61,5.6
63,6.7
64,6.6
65,6.6
66,6.6
67,5.9
68,6.3
69,5.7
70,
71,6.1
72,5.7
74,5.9
75,5.6
76,5.6
77,6.1
80,5.8
81,6.4
82,6.7
83,5.8
84,6.8
85,5.7
86,5.8
88,5.8
89,6.1
59,6.6