Participant,Age,How you played
1,5.9,NA
12,6,NA
21,5.5,NA
62,5.4,NA
70,,
2,7.2,NA
3,5.6,NA
4,5.9,NA
5,5.9,NA
6,6.7,"""Played them the same"""
7,6.5,"""I looked at the rows first then the columns"""
8,6.1,"""Played them the same"""
9,6.3,"""In one game I remembered the bottom row, and in the other I remembered the middle row"""
10,5.6,"""Played them the same"""
11,6.3,"""I played the small store differently""; No explanation why"
13,6.7,"""I checked the list less in the small store"""
14,6.9,"""Played them the same"""
15,5.7,"""I don't know"""
16,5.8,"""I named them"""
17,6,"""I say it in my brain"""
18,6.1,"""I looked at some items a little more so I remembered them"""
19,5.9,NA
20,6.1,"""I went line by line"""
22,5.7,"""I remembered what they looked like"""
23,5.8,"""I think about what they look like"""
24,5.6,"""I thought quick"""
25,5.7,"""I remembered on the first list"""
26,5.9,"""I tried to remember which ones go together, like bread and jam"""
27,6.2,"""I don't know"""
28,6.1,"""I named them in my head"""
29,6.8,"""I remembered the order"""
30,5.5,"""I was thinking them"""
31,6.5,"""I plop them in my head"""
32,6.7,"""I remembered their names"""
33,5.8,"""I looked at it, then I tapped it"""
34,5.6,"""I don't know"""
35,5.8,"""I was thinking of their names"""
36,5.9,"""I don't know"""
37,5.8,"""Because I'm smart"""
38,5.9,"""Used my brain"""
39,5.8,"""I was remembering 3 at a time, then 4 at a time"""
40,6.6,"""I picked 2 from the list and then I went back and found them"""
41,6.8,"""I only thinking about the things I saw, I did 4, then 3, then 2"""
42,5.9,"""I don't know"""
43,5.9,"""I tried to do all of them"""
44,6.8,"""I did the ones on the same row"""
46,6.2,"""I used my brain when looking at them, and then I get them"""
47,5.6,"""I don't know"""
48,5.8,"""I was naming the items"""
49,6.8,"""I took 3 at a time"""
50,5.5,"""Some I recognized"""
51,6.5,"""Just to look back sometimes"""
52,5.8,"""I just remembered"""
53,6.3,"""I was repeating it in my mind"""
54,6.7,"""I was saying them in my head"""
55,6.4,"""I was just guessing"""
56,6.1,"""I was looking at them"""
57,5.5,"""Sometimes I eat them (the items) - that's how I know it"""
58,6.7,"""Just tapped which one"""
59,6.6,"""I remembered what I checked"""
60,6,"""I thinked of the previous items and then I choose them and I got lucky"""
61,5.6,"""I was looking a lot of times to see what they look like"""
63,6.7,"""I just remember them"""
64,6.6,"""I don't know"""
65,6.6,"""I thought of what they look like"""
66,6.6,"""I thought of the names"""
67,5.9,"""I remembered what they look like"""
68,6.3,"""I was using my brain to think, and repeating it to my mouth"""
69,5.7,"""Nothing I just knew"""
71,6.1,"""I think of their names"""
72,5.7,"""I was thinking in my head, naming them"""
73,5.4,
74,5.9,"""I was collecting 3 at a time"""
75,5.6,"""I don't know"""
76,5.6,"""I thought of them"""
77,6.1,"""I don't know"""
78,6.4,"""I don't know"""
79,5,
80,5.8,"""I checked the list a lot and keep remembering"""
81,6.4,"""No"""
82,6.7,"""I don't know"""
83,5.8,"""In the little store I did it by 3s, in the big store I did it by 4s"""
84,6.8,"""I looked at them and tried to keep all of them in my mind"""
85,5.7,"""I was finding which foods I wanna get first"""
86,5.8,"""I don't know"""
87,5.2,"""I don't know"""
88,5.8,"""I don't know"""
89,6.1,"""I checked the list and I make sure I remember in my brain and I checked the list when I ran out in my brain"""